iter	Passed	Remaining
663	759	384
664	760	382
665	762	382
666	762	380
667	768	381
668	769	380
669	769	379
670	770	377
671	771	376
672	773	375
673	774	374
674	774	372
675	775	371
676	775	370
677	781	371
678	785	371
679	787	370
680	789	369
681	789	368
682	790	366
683	790	365
684	791	364
685	792	362
686	796	363
687	804	364
688	806	363
689	810	364
690	811	363
691	817	363
692	818	362
693	819	361
694	825	362
695	826	361
696	828	360
697	832	360
698	833	358
699	834	357
700	834	356
701	835	354
702	846	357
703	848	356
704	850	355
705	852	354
706	853	353
707	853	352
708	854	350
709	856	349
710	858	348
711	861	348
712	862	347
713	863	345
714	874	348
715	874	346
716	875	345
717	875	343
718	876	342
719	877	341
720	878	339
721	879	338
722	881	337
723	881	336
724	882	334
725	884	333
726	885	332
727	887	331
728	888	330
729	890	329
730	891	328
731	892	326
732	893	325
733	894	324
734	895	322
735	900	323
736	901	321
737	902	320
738	906	320
739	909	319
740	912	318
741	912	317
742	914	316
743	917	315
744	918	314
745	919	313
746	919	311
747	920	310
748	921	308
749	922	307
750	922	305
751	923	304
752	923	303
753	924	301
754	924	300
755	928	299
756	929	298
757	930	297
758	940	298
759	944	298
760	945	296
761	952	297
762	953	296
763	954	294
764	955	293
765	956	292
766	957	290
767	957	289
768	958	287
769	959	286
770	959	285
771	960	283
772	960	282
773	961	280
774	962	279
775	963	278
776	965	276
777	965	275
778	966	274
779	967	272
780	967	271
781	968	269
782	970	268
783	971	267
784	972	266
785	978	266
786	980	265
787	981	264
788	981	262
789	982	261
790	982	259
791	983	258
792	983	256
793	994	257
794	995	256
795	996	255
796	996	253
797	997	252
798	998	251
799	999	249
800	1000	248
801	1000	247
802	1001	245
803	1002	244
804	1003	243
805	1003	241
806	1004	240
807	1005	238
808	1005	237
809	1006	236
810	1006	234
811	1007	233
812	1007	231
813	1008	230
814	1008	229
815	1009	227
816	1009	226
817	1010	224
818	1011	223
819	1011	222
820	1012	220
821	1012	219
822	1013	217
823	1014	216
824	1015	215
825	1015	213
826	1016	212
827	1019	211
828	1019	210
829	1020	209
830	1021	207
831	1021	206
832	1022	204
833	1022	203
834	1023	202
835	1023	200
836	1024	199
837	1025	198
838	1025	196
839	1026	195
840	1026	194
841	1027	192
842	1029	191
843	1031	190
844	1032	189
845	1032	187
846	1033	186
847	1033	185
848	1034	183
849	1034	182
850	1035	181
851	1035	179
852	1036	178
853	1037	177
854	1037	175
855	1038	174
856	1038	173
857	1039	172
858	1039	170
859	1040	169
860	1040	168
861	1041	166
862	1042	165
863	1042	164
864	1043	162
865	1045	161
866	1045	160
867	1046	159
868	1046	157
869	1047	156
870	1047	155
871	1048	153
872	1049	152
873	1049	151
874	1050	150
875	1051	148
876	1051	147
877	1052	146
878	1052	144
879	1053	143
880	1054	142
881	1054	141
882	1055	139
883	1055	138
884	1056	137
885	1057	136
886	1058	134
887	1059	133
888	1060	132
889	1060	131
890	1061	129
891	1061	128
892	1062	127
893	1062	126
894	1063	124
895	1064	123
896	1064	122
897	1065	121
898	1066	119
899	1066	118
900	1067	117
901	1067	116
902	1068	114
903	1068	113
904	1069	112
905	1069	111
906	1070	109
907	1071	108
908	1071	107
909	1073	106
910	1074	104
911	1075	103
912	1075	102
913	1076	101
914	1077	100
915	1078	98
916	1078	97
917	1079	96
918	1080	95
919	1080	93
920	1081	92
921	1081	91
922	1082	90
923	1082	89
924	1083	87
925	1083	86
926	1084	85
927	1084	84
928	1085	82
929	1088	81
930	1089	80
931	1089	79
932	1090	78
933	1091	77
934	1092	75
935	1092	74
936	1093	73
937	1093	72
938	1094	71
939	1095	69
940	1095	68
941	1096	67
942	1096	66
943	1097	65
944	1097	63
945	1098	62
946	1099	61
947	1100	60
948	1100	59
949	1101	57
950	1101	56
951	1102	55
952	1102	54
953	1103	53
954	1104	52
955	1104	50
956	1105	49
957	1105	48
958	1106	47
959	1107	46
960	1109	45
961	1110	43
962	1111	42
963	1124	41
964	1128	40
965	1129	39
966	1130	38
967	1153	38
968	1154	36
969	1155	35
970	1156	34
971	1157	33
972	1158	32
973	1159	30
974	1159	29
975	1160	28
976	1161	27
977	1162	26
978	1163	24
979	1166	23
980	1167	22
981	1170	21
982	1184	20
983	1186	19
984	1186	18
985	1187	16
986	1188	15
987	1189	14
988	1190	13
989	1190	12
990	1191	10
991	1192	9
992	1192	8
993	1193	7
994	1194	6
995	1194	4
996	1195	3
997	1196	2
998	1196	1
999	1197	0
